"","doseB","doseA","tie"
"1",322,550,28
"2",358,510,32
"3",372,490,38
"4",352,495,53
"5",291,573,36
"6",339,515,46
"7",244,620,36
"8",367,463,70
"9",280,575,45
"10",376,472,52
"11",306,543,51
"12",310,542,48
"13",300,550,50
"14",329,502,69
"15",280,580,40
"16",308,538,54
"17",206,653,41
"18",304,558,38
"19",278,557,65
"20",298,567,35
"21",340,496,64
"22",318,535,47
"23",411,437,52
"24",348,511,41
"25",327,506,67
"26",243,616,41
"27",327,535,38
"28",277,557,66
"29",283,572,45
"30",312,531,57
"31",324,523,53
"32",290,553,57
"33",322,528,50
"34",330,533,37
"35",239,622,39
"36",385,477,38
"37",353,493,54
"38",396,452,52
"39",222,658,20
"40",263,607,30
"41",374,463,63
"42",378,449,73
"43",332,525,43
"44",233,624,43
"45",319,526,55
"46",343,492,65
"47",296,547,57
"48",329,514,57
"49",429,439,32
"50",372,491,37
"51",329,531,40
"52",289,570,41
"53",241,616,43
"54",287,572,41
"55",268,606,26
"56",306,560,34
"57",432,433,35
"58",375,472,53
"59",221,623,56
"60",332,530,38
"61",395,456,49
"62",316,533,51
"63",332,510,58
"64",322,532,46
"65",452,381,67
"66",313,537,50
"67",362,464,74
"68",395,475,30
"69",381,492,27
"70",296,567,37
"71",339,490,71
"72",333,523,44
"73",381,482,37
"74",331,532,37
"75",279,587,34
"76",306,535,59
"77",265,604,31
"78",282,554,64
"79",312,544,44
"80",319,536,45
"81",277,572,51
"82",293,574,33
"83",242,611,47
"84",370,473,57
"85",338,519,43
"86",336,526,38
"87",287,564,49
"88",406,450,44
"89",170,693,37
"90",322,532,46
"91",347,513,40
"92",285,567,48
"93",375,492,33
"94",205,664,31
"95",204,658,38
"96",206,643,51
"97",349,512,39
"98",308,553,39
"99",202,676,22
"100",224,657,19
"101",286,573,41
"102",339,509,52
"103",329,522,49
"104",296,539,65
"105",454,396,50
"106",345,508,47
"107",306,516,78
"108",298,567,35
"109",333,522,45
"110",440,421,39
"111",271,594,35
"112",383,471,46
"113",329,507,64
"114",204,652,44
"115",271,580,49
"116",396,449,55
"117",458,387,55
"118",303,540,57
"119",298,554,48
"120",337,518,45
"121",310,546,44
"122",246,602,52
"123",286,578,36
"124",356,504,40
"125",216,619,65
"126",310,560,30
"127",306,566,28
"128",309,545,46
"129",242,614,44
"130",271,589,40
"131",302,538,60
"132",371,463,66
"133",327,520,53
"134",271,597,32
"135",473,372,55
"136",407,456,37
"137",365,487,48
"138",331,527,42
"139",185,660,55
"140",312,540,48
"141",207,650,43
"142",427,434,39
"143",331,534,35
"144",418,420,62
"145",332,490,78
"146",219,621,60
"147",271,588,41
"148",350,503,47
"149",301,559,40
"150",216,650,34
"151",363,495,42
"152",275,600,25
"153",266,603,31
"154",342,522,36
"155",355,512,33
"156",359,501,40
"157",326,536,38
"158",340,504,56
"159",465,358,77
"160",344,511,45
"161",256,607,37
"162",393,465,42
"163",296,547,57
"164",368,479,53
"165",315,543,42
"166",325,535,40
"167",336,516,48
"168",231,625,44
"169",319,530,51
"170",354,511,35
"171",309,557,34
"172",422,423,55
