"","doseB","doseA","tie"
"1",493,313,94
"2",363,451,86
"3",477,340,83
"4",571,255,74
"5",357,437,106
"6",323,454,123
"7",429,348,123
"8",361,466,73
"9",318,487,95
"10",454,357,89
"11",345,460,95
"12",360,423,117
"13",431,348,121
"14",317,483,100
"15",372,408,120
"16",504,276,120
"17",397,410,93
"18",437,383,80
"19",379,447,74
"20",395,326,179
"21",343,445,112
"22",442,369,89
"23",416,421,63
"24",312,465,123
"25",618,214,68
"26",454,362,84
"27",411,417,72
"28",377,413,110
"29",449,365,86
"30",357,440,103
"31",471,329,100
"32",308,518,74
"33",332,463,105
"34",485,322,93
"35",454,352,94
"36",447,338,115
"37",386,424,90
"38",467,310,123
"39",389,400,111
"40",374,435,91
"41",458,320,122
"42",379,433,88
"43",519,250,131
"44",446,331,123
"45",460,312,128
"46",376,400,124
"47",349,433,118
"48",357,441,102
"49",407,349,144
"50",389,413,98
"51",432,372,96
"52",306,501,93
"53",601,204,95
"54",426,404,70
"55",427,385,88
"56",319,469,112
"57",355,422,123
"58",447,388,65
"59",554,250,96
"60",512,283,105
"61",330,475,95
"62",493,310,97
"63",295,508,97
"64",380,382,138
"65",415,352,133
"66",486,304,110
"67",422,370,108
"68",449,329,122
"69",367,424,109
"70",524,292,84
"71",449,372,79
"72",381,412,107
"73",343,405,152
"74",354,425,121
"75",304,501,95
"76",370,411,119
"77",353,436,111
"78",476,344,80
"79",488,329,83
"80",447,356,97
"81",395,401,104
"82",347,419,134
"83",406,407,87
"84",370,444,86
"85",329,470,101
"86",409,421,70
"87",358,407,135
"88",559,247,94
"89",426,369,105
"90",438,386,76
"91",511,303,86
"92",388,401,111
"93",374,412,114
"94",439,390,71
"95",476,316,108
"96",428,362,110
"97",405,364,131
"98",392,452,56
"99",430,357,113
"100",444,339,117
"101",410,392,98
"102",387,449,64
"103",345,486,69
"104",373,429,98
"105",347,447,106
"106",429,373,98
"107",354,462,84
"108",376,446,78
"109",396,368,136
"110",424,414,62
"111",368,426,106
"112",355,452,93
"113",466,321,113
"114",408,340,152
"115",325,465,110
"116",311,484,105
"117",405,414,81
"118",423,377,100
"119",387,409,104
"120",341,441,118
"121",447,335,118
"122",390,400,110
"123",318,464,118
"124",470,346,84
"125",494,312,94
"126",264,521,115
"127",382,416,102
"128",322,465,113
"129",374,434,92
"130",412,341,147
"131",394,379,127
"132",169,652,79
"133",369,447,84
"134",332,450,118
"135",323,442,135
"136",305,445,150
"137",450,319,131
"138",452,355,93
"139",401,414,85
"140",392,386,122
"141",547,246,107
"142",349,422,129
"143",434,365,101
"144",442,368,90
"145",500,248,152
"146",421,417,62
"147",361,466,73
"148",297,537,66
"149",493,312,95
"150",425,349,126
"151",358,442,100
"152",343,416,141
"153",379,388,133
"154",337,425,138
"155",460,342,98
"156",380,399,121
"157",402,398,100
"158",446,316,138
"159",437,352,111
"160",366,426,108
"161",348,466,86
"162",472,319,109
"163",304,490,106
"164",314,516,70
"165",272,545,83
"166",442,353,105
"167",422,391,87
"168",432,348,120
"169",340,407,153
"170",272,518,110
"171",436,385,79
"172",351,476,73
"173",394,404,102
"174",500,307,93
"175",358,448,94
"176",453,322,125
"177",333,472,95
"178",347,461,92
"179",355,487,58
"180",430,393,77
"181",322,465,113
"182",393,427,80
"183",416,380,104
"184",332,485,83
"185",268,546,86
"186",418,359,123
"187",354,467,79
"188",478,305,117
"189",353,453,94
"190",364,430,106
"191",237,573,90
"192",315,487,98
"193",355,446,99
"194",376,456,68
"195",482,313,105
"196",431,376,93
"197",424,397,79
"198",402,382,116
"199",318,461,121
"200",386,411,103
"201",348,462,90
"202",488,283,129
"203",481,347,72
"204",430,378,92
"205",440,342,118
"206",394,387,119
"207",366,435,99
"208",379,371,150
"209",436,372,92
"210",515,286,99
"211",386,445,69
"212",415,388,97
"213",373,405,122
"214",407,399,94
"215",552,239,109
"216",297,475,128
"217",464,284,152
"218",455,343,102
"219",325,449,126
