"","doseB","doseA","tie"
"1",435,386,79
"2",559,287,54
"3",449,371,80
"4",469,357,74
"5",458,397,45
"6",531,325,44
"7",453,384,63
"8",423,424,53
"9",478,359,63
"10",386,452,62
"11",451,371,78
"12",416,429,55
"13",308,521,71
"14",413,411,76
"15",568,287,45
"16",513,324,63
"17",447,407,46
"18",451,391,58
"19",467,383,50
"20",446,389,65
"21",349,508,43
"22",523,330,47
"23",327,487,86
"24",427,420,53
"25",417,430,53
"26",380,476,44
"27",516,316,68
"28",512,341,47
"29",471,389,40
"30",383,463,54
"31",443,374,83
"32",484,346,70
"33",448,398,54
"34",443,403,54
"35",411,428,61
"36",481,376,43
"37",480,361,59
"38",376,472,52
"39",364,487,49
"40",448,390,62
"41",361,473,66
"42",345,502,53
"43",520,328,52
"44",348,498,54
"45",400,450,50
"46",440,404,56
"47",580,275,45
"48",435,406,59
"49",360,502,38
"50",520,327,53
"51",387,462,51
"52",507,350,43
"53",448,419,33
"54",478,365,57
"55",552,287,61
"56",510,339,51
"57",324,531,45
"58",456,372,72
"59",473,359,68
"60",341,497,62
"61",457,389,54
"62",347,499,54
"63",604,236,60
"64",356,486,58
"65",352,492,56
"66",400,435,65
"67",351,499,50
"68",445,404,51
"69",406,442,52
"70",408,420,72
"71",478,365,57
"72",431,396,73
"73",430,410,60
"74",373,464,63
"75",370,454,76
"76",344,487,69
"77",359,480,61
"78",430,403,67
"79",399,430,71
"80",431,431,38
"81",428,408,64
"82",529,325,46
"83",471,340,89
"84",446,404,50
"85",411,449,40
"86",589,261,50
"87",535,322,43
"88",391,442,67
"89",394,463,43
"90",469,391,40
"91",383,461,56
"92",486,341,73
"93",471,363,66
"94",368,463,69
"95",514,316,70
"96",597,246,57
"97",544,304,52
"98",363,486,51
"99",429,424,47
"100",379,473,48
"101",395,453,52
"102",431,404,65
"103",437,426,37
"104",477,357,66
"105",593,257,50
"106",457,371,72
"107",496,351,53
"108",417,430,53
"109",526,318,56
"110",477,378,45
"111",385,480,35
"112",483,358,59
"113",395,397,108
"114",428,412,60
"115",417,398,85
"116",479,358,63
"117",329,533,38
"118",461,392,47
"119",495,356,49
"120",447,400,53
"121",427,408,65
"122",488,367,45
"123",493,358,49
"124",542,335,23
"125",520,317,63
"126",423,449,28
"127",508,344,48
"128",342,485,73
"129",487,354,59
"130",418,405,77
"131",422,406,72
"132",482,385,33
"133",500,338,62
"134",528,315,57
"135",534,317,49
"136",439,377,84
"137",464,362,74
"138",437,414,49
"139",364,492,44
"140",623,208,69
"141",446,405,49
"142",335,526,39
"143",449,359,92
"144",574,270,56
"145",330,510,60
"146",485,365,50
"147",447,390,63
"148",485,344,71
"149",429,432,39
"150",393,455,52
"151",397,461,42
"152",363,482,55
"153",480,376,44
"154",547,284,69
"155",569,289,42
"156",463,377,60
"157",376,460,64
"158",462,385,53
"159",423,423,54
"160",391,445,64
"161",504,352,44
"162",541,299,60
"163",319,527,54
"164",421,448,31
"165",531,323,46
"166",382,445,73
"167",469,371,60
"168",391,460,49
"169",486,363,51
"170",484,355,61
"171",424,409,67
"172",464,370,66
"173",396,434,70
"174",429,422,49
"175",484,349,67
"176",409,418,73
"177",484,367,49
"178",513,330,57
"179",420,407,73
"180",563,279,58
"181",434,407,59
"182",516,320,64
"183",463,387,50
"184",436,419,45
"185",402,435,63
"186",439,421,40
"187",400,435,65
"188",435,406,59
"189",528,294,78
"190",581,284,35
"191",445,397,58
"192",496,355,49
"193",434,394,72
"194",453,371,76
"195",513,335,52
"196",578,272,50
"197",481,370,49
"198",512,350,38
"199",376,430,94
"200",446,394,60
"201",481,365,54
"202",311,533,56
"203",490,346,64
"204",375,466,59
"205",509,323,68
"206",445,398,57
"207",452,369,79
"208",391,463,46
"209",433,418,49
"210",531,301,68
"211",425,428,47
"212",595,254,51
"213",435,418,47
"214",367,484,49
"215",406,458,36
"216",502,330,68
"217",493,353,54
"218",419,435,46
"219",463,379,58
"220",375,447,78
"221",478,370,52
"222",364,474,62
"223",553,269,78
"224",386,463,51
"225",307,542,51
"226",489,367,44
"227",514,330,56
"228",496,342,62
"229",438,422,40
"230",511,345,44
"231",502,344,54
"232",524,311,65
"233",509,319,72
"234",308,522,70
"235",541,305,54
"236",280,579,41
"237",485,346,69
"238",558,279,63
"239",562,277,61
"240",305,556,39
"241",335,517,48
"242",352,491,57
"243",468,360,72
"244",370,453,77
"245",415,427,58
"246",424,437,39
"247",334,520,46
"248",353,487,60
"249",351,484,65
"250",495,344,61
"251",565,281,54
"252",401,450,49
"253",475,366,59
"254",494,347,59
"255",310,506,84
"256",382,466,52
"257",562,278,60
"258",564,295,41
"259",371,483,46
"260",463,396,41
"261",504,327,69
"262",468,383,49
"263",385,460,55
"264",468,363,69
"265",401,450,49
"266",495,336,69
"267",537,308,55
"268",549,290,61
"269",462,390,48
"270",492,356,52
"271",418,415,67
"272",444,397,59
"273",530,302,68
"274",367,475,58
"275",322,521,57
"276",453,393,54
"277",490,347,63
"278",445,379,76
"279",457,385,58
"280",344,496,60
"281",485,371,44
"282",438,405,57
"283",396,445,59
"284",433,406,61
"285",427,433,40
"286",465,394,41
"287",539,299,62
"288",443,404,53
"289",381,475,44
"290",402,456,42
"291",446,403,51
"292",474,382,44
"293",301,550,49
"294",372,471,57
"295",502,356,42
"296",525,337,38
"297",532,308,60
"298",343,516,41
"299",468,356,76
"300",424,414,62
"301",400,445,55
"302",476,352,72
"303",506,339,55
"304",400,441,59
"305",450,388,62
"306",430,419,51
"307",439,391,70
"308",486,351,63
"309",425,428,47
"310",519,340,41
"311",386,459,55
"312",483,359,58
"313",497,362,41
"314",422,425,53
"315",454,402,44
"316",416,414,70
"317",408,436,56
"318",424,432,44
"319",557,292,51
"320",249,610,41
"321",457,379,64
"322",522,330,48
"323",352,479,69
"324",421,431,48
"325",349,506,45
"326",369,490,41
"327",379,453,68
"328",362,480,58
"329",330,519,51
"330",443,362,95
"331",404,441,55
"332",543,299,58
"333",385,454,61
"334",395,451,54
"335",435,391,74
"336",423,406,71
"337",507,341,52
"338",368,448,84
"339",544,315,41
"340",459,375,66
"341",443,385,72
"342",496,337,67
"343",403,442,55
"344",570,270,60
"345",369,487,44
"346",504,353,43
"347",350,483,67
"348",501,352,47
"349",526,326,48
"350",385,470,45
"351",392,435,73
"352",467,386,47
"353",397,437,66
"354",437,409,54
"355",588,268,44
"356",466,403,31
"357",589,262,49
"358",410,425,65
"359",319,533,48
"360",496,358,46
"361",434,399,67
"362",456,391,53
"363",468,378,54
"364",461,377,62
"365",448,398,54
"366",562,292,46
"367",439,400,61
"368",399,449,52
"369",427,427,46
"370",470,364,66
"371",505,354,41
"372",466,387,47
"373",404,441,55
"374",384,461,55
"375",422,423,55
"376",540,321,39
"377",289,545,66
"378",364,494,42
"379",381,458,61
"380",311,531,58
"381",430,410,60
"382",504,358,38
"383",438,417,45
"384",438,411,51
"385",530,323,47
"386",513,304,83
"387",497,365,38
"388",423,435,42
"389",436,423,41
"390",469,377,54
"391",449,405,46
"392",571,265,64
"393",458,402,40
"394",502,334,64
"395",406,425,69
"396",376,462,62
"397",525,320,55
"398",400,432,68
"399",390,462,48
"400",423,424,53
"401",497,354,49
"402",356,479,65
"403",371,484,45
"404",511,340,49
"405",578,258,64
"406",546,303,51
"407",479,353,68
"408",346,495,59
"409",389,440,71
"410",449,397,54
"411",327,511,62
"412",435,383,82
"413",523,336,41
"414",439,410,51
"415",494,350,56
"416",501,350,49
"417",488,355,57
"418",410,439,51
"419",405,418,77
"420",521,331,48
"421",337,505,58
"422",411,424,65
"423",371,448,81
"424",451,396,53
"425",337,518,45
"426",493,340,67
"427",417,423,60
"428",513,326,61
"429",462,384,54
"430",472,392,36
"431",490,349,61
"432",431,406,63
"433",528,304,68
"434",372,493,35
"435",472,353,75
"436",364,469,67
"437",484,356,60
"438",393,471,36
"439",354,484,62
"440",454,392,54
"441",473,369,58
"442",517,339,44
"443",459,394,47
"444",468,393,39
"445",473,372,55
"446",469,384,47
"447",413,440,47
"448",399,427,74
"449",472,384,44
"450",393,450,57
"451",454,394,52
"452",535,310,55
"453",466,387,47
"454",457,394,49
"455",376,474,50
"456",383,447,70
"457",505,357,38
"458",389,449,62
"459",433,403,64
"460",428,430,42
"461",349,496,55
"462",511,344,45
"463",503,362,35
"464",444,403,53
"465",489,348,63
"466",508,335,57
"467",408,420,72
"468",364,480,56
"469",450,397,53
"470",374,470,56
"471",463,375,62
"472",410,410,80
"473",352,484,64
"474",342,510,48
"475",406,435,59
"476",414,418,68
"477",339,510,51
"478",417,431,52
"479",498,343,59
"480",542,319,39
"481",394,463,43
"482",508,332,60
"483",494,341,65
"484",514,323,63
"485",378,469,53
"486",340,516,44
"487",432,418,50
"488",326,516,58
"489",469,378,53
"490",514,328,58
"491",343,508,49
"492",451,391,58
"493",530,312,58
"494",461,380,59
"495",475,384,41
"496",354,485,61
"497",344,496,60
"498",341,515,44
"499",419,423,58
"500",329,517,54
"501",450,394,56
"502",442,412,46
"503",485,353,62
"504",326,515,59
"505",507,343,50
"506",400,439,61
"507",363,486,51
"508",413,442,45
"509",488,357,55
"510",524,316,60
"511",480,358,62
"512",350,503,47
"513",446,407,47
"514",354,488,58
"515",372,465,63
"516",444,382,74
"517",619,225,56
"518",504,331,65
"519",350,472,78
"520",397,433,70
"521",400,452,48
"522",416,448,36
"523",409,428,63
"524",454,382,64
"525",458,397,45
"526",414,411,75
"527",430,426,44
"528",367,466,67
"529",398,459,43
"530",404,449,47
"531",345,512,43
"532",428,428,44
"533",546,290,64
"534",387,457,56
"535",573,266,61
"536",572,291,37
"537",479,358,63
"538",537,282,81
"539",477,355,68
"540",338,493,69
"541",458,383,59
"542",493,356,51
"543",410,450,40
"544",398,441,61
"545",486,357,57
"546",434,415,51
"547",386,472,42
"548",417,442,41
"549",447,386,67
"550",244,591,65
"551",474,378,48
"552",501,337,62
"553",362,423,115
"554",369,474,57
"555",405,440,55
"556",441,396,63
"557",493,348,59
"558",421,404,75
"559",447,391,62
"560",613,239,48
"561",487,364,49
"562",494,341,65
"563",425,414,61
"564",478,363,59
"565",473,371,56
"566",441,394,65
"567",561,269,70
"568",483,358,59
"569",512,317,71
"570",649,219,32
"571",478,369,53
"572",378,464,58
"573",431,401,68
"574",446,352,102
"575",509,338,53
"576",439,397,64
"577",409,426,65
"578",497,349,54
"579",392,454,54
"580",344,502,54
"581",606,241,53
"582",393,443,64
"583",519,342,39
"584",464,362,74
"585",434,418,48
"586",455,412,33
"587",353,484,63
"588",506,334,60
"589",409,437,54
"590",481,365,54
"591",551,299,50
"592",421,431,48
"593",318,524,58
"594",480,357,63
"595",520,318,62
"596",355,474,71
"597",480,365,55
"598",482,350,68
"599",462,367,71
"600",646,218,36
"601",379,438,83
"602",430,412,58
"603",416,429,55
"604",456,401,43
"605",419,436,45
"606",428,403,69
"607",460,382,58
"608",465,383,52
"609",387,456,57
"610",450,385,65
"611",360,483,57
"612",433,406,61
"613",283,550,67
"614",556,290,54
"615",559,275,66
"616",455,383,62
"617",500,336,64
"618",367,471,62
"619",364,454,82
"620",473,358,69
"621",462,390,48
"622",424,413,63
"623",515,305,80
"624",597,258,45
"625",380,440,80
"626",498,348,54
"627",404,434,62
"628",501,344,55
"629",502,328,70
"630",597,226,77
"631",368,477,55
"632",485,341,74
"633",414,424,62
"634",463,394,43
"635",359,492,49
"636",306,536,58
"637",423,429,48
"638",437,405,58
"639",489,365,46
"640",486,369,45
"641",584,270,46
"642",508,312,80
"643",318,539,43
"644",425,431,44
"645",327,519,54
"646",518,321,61
"647",419,427,54
"648",436,419,45
"649",503,355,42
"650",440,403,57
"651",350,470,80
"652",433,408,59
"653",445,401,54
"654",399,437,64
"655",416,428,56
"656",363,480,57
"657",446,397,57
"658",466,399,35
"659",352,483,65
"660",503,348,49
"661",489,352,59
"662",476,364,60
"663",373,461,66
"664",521,311,68
"665",423,435,42
"666",476,373,51
"667",530,301,69
"668",456,374,70
"669",565,266,69
"670",429,411,60
"671",429,419,52
"672",561,278,61
"673",388,462,50
"674",324,523,53
"675",459,395,46
"676",476,359,65
"677",457,395,48
"678",529,314,57
"679",433,408,59
"680",520,323,57
"681",514,311,75
"682",408,440,52
"683",546,297,57
"684",515,328,57
"685",518,315,67
"686",513,322,65
"687",458,382,60
"688",465,368,67
"689",391,460,49
"690",525,314,61
"691",341,483,76
"692",363,483,54
"693",553,307,40
"694",455,380,65
"695",417,410,73
"696",543,285,72
"697",596,271,33
"698",556,255,89
"699",441,404,55
"700",551,309,40
"701",445,400,55
"702",551,310,39
"703",408,429,63
"704",515,326,59
"705",529,319,52
"706",480,350,70
"707",509,316,75
"708",532,314,54
"709",388,459,53
"710",444,410,46
"711",436,407,57
"712",322,516,62
"713",483,367,50
"714",362,505,33
"715",404,438,58
"716",492,366,42
"717",341,508,51
"718",371,484,45
"719",557,288,55
"720",439,404,57
"721",533,316,51
"722",460,381,59
"723",406,444,50
"724",400,471,29
"725",440,389,71
"726",475,369,56
"727",274,574,52
"728",488,365,47
"729",547,305,48
"730",580,275,45
"731",413,399,88
"732",554,283,63
"733",454,384,62
"734",363,487,50
"735",513,328,59
"736",449,398,53
"737",478,366,56
"738",410,425,65
"739",457,378,65
"740",400,450,50
"741",435,422,43
"742",513,323,64
"743",576,284,40
"744",493,334,73
"745",294,551,55
"746",622,242,36
"747",381,441,78
"748",365,473,62
"749",633,204,63
"750",511,335,54
"751",387,457,56
"752",362,486,52
"753",343,500,57
"754",486,371,43
"755",426,430,44
"756",405,440,55
"757",388,475,37
"758",539,304,57
"759",412,452,36
"760",277,566,57
"761",469,369,62
"762",380,454,66
"763",361,474,65
"764",396,457,47
"765",508,345,47
"766",514,326,60
"767",534,316,50
"768",388,443,69
"769",429,421,50
"770",458,382,60
"771",402,444,54
"772",453,405,42
"773",429,425,46
"774",471,375,54
"775",440,398,62
"776",545,313,42
"777",403,436,61
"778",356,488,56
"779",440,404,56
"780",286,551,63
"781",417,421,62
"782",521,330,49
"783",471,363,66
"784",524,329,47
"785",557,299,44
"786",414,446,40
"787",409,448,43
"788",505,329,66
"789",442,387,71
"790",515,350,35
"791",537,302,61
"792",374,458,68
