"","doseB","doseA","tie"
"1",543,308,49
"2",465,385,50
"3",538,302,60
"4",456,381,63
"5",735,129,36
"6",495,358,47
"7",524,331,45
"8",533,318,49
"9",545,302,53
"10",394,448,58
"11",437,403,60
"12",579,243,78
"13",389,467,44
"14",617,230,53
"15",475,364,61
"16",468,385,47
"17",553,297,50
"18",479,349,72
"19",579,263,58
"20",446,379,75
"21",453,391,56
"22",498,359,43
"23",537,302,61
"24",451,389,60
"25",568,275,57
"26",586,273,41
"27",428,418,54
"28",452,391,57
"29",488,365,47
"30",477,367,56
"31",489,368,43
"32",531,327,42
"33",548,300,52
"34",555,303,42
"35",429,413,58
"36",548,297,55
"37",522,316,62
"38",406,434,60
"39",539,308,53
"40",399,420,81
"41",535,295,70
"42",445,392,63
"43",523,321,56
"44",486,365,49
"45",445,399,56
"46",531,309,60
"47",393,444,63
"48",586,262,52
"49",583,260,57
"50",449,377,74
"51",518,328,54
"52",592,266,42
"53",413,421,66
"54",409,429,62
"55",529,310,61
"56",462,367,71
"57",484,362,54
"58",545,302,53
"59",561,277,62
"60",505,327,68
"61",423,428,49
"62",436,408,56
"63",480,352,68
"64",507,344,49
"65",386,462,52
"66",548,261,91
"67",473,375,52
"68",507,313,80
"69",458,379,63
"70",574,267,59
"71",462,372,66
"72",502,331,67
"73",469,376,55
"74",476,355,69
"75",369,500,31
"76",437,410,53
"77",500,337,63
"78",481,349,70
"79",501,326,73
"80",676,184,40
"81",455,418,27
"82",407,432,61
"83",433,393,74
"84",392,461,47
"85",628,227,45
"86",437,384,79
"87",446,376,78
"88",554,302,44
"89",442,383,75
"90",452,392,56
"91",509,342,49
"92",593,249,58
"93",543,311,46
"94",539,299,62
"95",506,348,46
"96",613,256,31
"97",436,403,61
"98",371,481,48
"99",611,239,50
"100",480,369,51
"101",492,346,62
"102",519,331,50
"103",358,483,59
"104",577,268,55
"105",448,387,65
"106",427,417,56
"107",541,302,57
"108",538,294,68
"109",545,302,53
"110",537,295,68
"111",612,219,69
"112",542,283,75
"113",435,410,55
"114",459,380,61
"115",413,419,68
"116",557,300,43
"117",557,286,57
"118",489,367,44
"119",642,198,60
"120",552,304,44
"121",474,353,73
"122",412,419,69
"123",438,395,67
"124",415,423,62
"125",434,399,67
"126",509,350,41
"127",388,451,61
"128",499,333,68
"129",441,402,57
"130",636,213,51
"131",580,266,54
"132",505,303,92
"133",392,457,51
"134",641,228,31
