"","doseA","doseB","tie"
"1",429,427,44
"2",473,372,55
"3",419,418,63
"4",499,339,62
"5",337,497,66
"6",392,448,60
"7",479,360,61
"8",370,452,78
"9",524,327,49
"10",558,260,82
"11",407,403,90
"12",464,367,69
"13",309,539,52
"14",352,456,92
"15",381,448,71
"16",361,482,57
"17",382,460,58
"18",347,494,59
"19",399,455,46
"20",299,550,51
"21",260,597,43
"22",499,338,63
"23",383,444,73
"24",404,446,50
"25",447,393,60
"26",430,392,78
"27",388,447,65
"28",492,322,86
"29",508,330,62
"30",457,384,59
"31",363,488,49
"32",382,443,75
"33",497,346,57
"34",343,504,53
"35",515,330,55
"36",416,433,51
"37",385,472,43
"38",501,323,76
"39",375,472,53
"40",444,384,72
"41",437,394,69
"42",406,435,59
"43",384,458,58
"44",457,387,56
"45",450,401,49
"46",556,264,80
"47",437,399,64
"48",467,390,43
"49",422,428,50
"50",429,421,50
"51",366,466,68
"52",621,235,44
"53",412,426,62
"54",446,400,54
"55",381,474,45
"56",529,302,69
"57",240,606,54
"58",431,413,56
"59",300,526,74
"60",428,399,73
"61",380,443,77
"62",343,475,82
"63",400,442,58
"64",464,349,87
"65",344,502,54
"66",471,356,73
"67",399,429,72
"68",410,431,59
"69",477,344,79
"70",295,524,81
"71",470,376,54
"72",433,409,58
"73",421,413,66
"74",424,412,64
"75",368,474,58
"76",390,463,47
"77",520,305,75
"78",473,344,83
"79",419,417,64
"80",412,429,59
"81",396,453,51
"82",410,403,87
"83",370,476,54
"84",457,379,64
"85",417,413,70
"86",339,501,60
"87",416,420,64
"88",371,446,83
"89",581,258,61
"90",564,283,53
"91",487,334,79
"92",458,389,53
"93",354,496,50
"94",388,457,55
"95",480,366,54
"96",294,531,75
"97",341,494,65
"98",422,412,66
"99",451,379,70
"100",478,376,46
"101",334,508,58
"102",413,434,53
"103",393,432,75
"104",456,375,69
"105",411,428,61
"106",378,467,55
"107",297,525,78
"108",196,656,48
"109",458,374,68
"110",419,415,66
"111",444,407,49
"112",304,501,95
"113",491,343,66
"114",465,374,61
"115",256,600,44
"116",350,484,66
"117",464,382,54
"118",411,432,57
"119",430,370,100
"120",548,286,66
"121",453,392,55
"122",364,476,60
"123",418,420,62
"124",534,310,56
"125",335,508,57
"126",367,455,78
"127",462,369,69
"128",299,539,62
"129",485,363,52
"130",520,301,79
"131",435,395,70
"132",403,433,64
"133",416,411,73
"134",329,522,49
"135",431,383,86
"136",398,431,71
"137",367,473,60
"138",377,469,54
"139",405,425,70
"140",313,526,61
"141",417,428,55
"142",464,391,45
"143",455,377,68
"144",256,588,56
"145",405,433,62
"146",330,488,82
