"","doseB","doseA","tie"
"1",490,335,75
"2",416,422,62
"3",412,421,67
"4",457,355,88
"5",353,479,68
"6",393,454,53
"7",438,384,78
"8",402,423,75
"9",439,389,72
"10",515,306,79
"11",382,445,73
"12",455,364,81
"13",535,280,85
"14",323,507,70
"15",492,349,59
"16",530,318,52
"17",461,360,79
"18",455,366,79
"19",397,434,69
"20",455,380,65
"21",432,405,63
"22",498,319,83
"23",450,403,47
"24",346,491,63
"25",551,290,59
"26",496,353,51
"27",447,382,71
"28",444,359,97
"29",456,373,71
"30",480,351,69
"31",564,285,51
"32",240,610,50
"33",385,453,62
"34",464,384,52
"35",521,317,62
"36",424,418,58
"37",396,433,71
"38",479,347,74
"39",397,443,60
"40",429,416,55
"41",497,340,63
"42",399,452,49
"43",516,307,77
"44",509,345,46
"45",599,242,59
"46",472,356,72
"47",327,531,42
"48",329,506,65
"49",391,404,105
"50",412,365,123
"51",429,413,58
"52",378,456,66
"53",605,230,65
"54",420,427,53
"55",421,377,102
"56",376,452,72
"57",389,453,58
"58",430,400,70
"59",553,286,61
"60",570,270,60
"61",370,471,59
"62",460,353,87
"63",316,493,91
"64",352,458,90
"65",460,341,99
"66",501,325,74
"67",454,387,59
"68",427,392,81
"69",443,389,68
"70",531,299,70
"71",513,327,60
"72",419,420,61
"73",407,419,74
"74",430,373,97
"75",376,461,63
"76",444,365,91
"77",322,514,64
"78",466,363,71
"79",369,455,76
"80",421,406,73
"81",453,396,51
"82",390,442,68
"83",424,413,63
"84",477,350,73
"85",462,368,70
"86",355,476,69
"87",429,398,73
"88",522,318,60
"89",495,313,92
"90",419,420,61
"91",527,319,54
"92",392,438,70
"93",424,406,70
"94",476,354,70
"95",460,336,104
"96",409,423,68
"97",482,352,66
"98",405,421,74
"99",553,287,60
"100",432,399,69
"101",442,397,61
"102",505,352,43
"103",424,411,65
"104",405,397,98
"105",436,370,94
"106",500,314,86
"107",341,479,80
"108",407,443,50
"109",322,509,69
"110",445,393,62
