"","doseA","doseB","tie"
"1",287,560,53
"2",291,580,29
"3",264,582,54
"4",418,450,32
"5",276,603,21
"6",354,508,38
"7",419,433,48
"8",410,469,21
"9",295,536,69
"10",339,514,47
"11",314,520,66
"12",408,447,45
"13",398,477,25
"14",321,540,39
"15",314,538,48
"16",317,552,31
"17",318,557,25
"18",506,358,36
"19",407,458,35
"20",434,433,33
"21",268,593,39
"22",433,430,37
"23",420,466,14
"24",371,502,27
"25",267,602,31
"26",415,450,35
"27",360,513,27
"28",245,623,32
"29",380,487,33
"30",363,504,33
"31",395,476,29
"32",316,557,27
"33",340,507,53
"34",457,411,32
"35",375,492,33
"36",368,493,39
"37",276,590,34
"38",335,542,23
"39",344,540,16
"40",355,491,54
"41",261,607,32
"42",325,534,41
"43",322,543,35
"44",383,474,43
"45",337,521,42
"46",276,599,25
"47",396,477,27
"48",273,573,54
"49",335,531,34
"50",345,537,18
"51",353,504,43
"52",367,489,44
"53",259,608,33
"54",294,557,49
"55",301,559,40
"56",423,442,35
"57",311,559,30
"58",321,529,50
"59",389,448,63
"60",186,667,47
"61",375,488,37
"62",369,483,48
"63",307,571,22
"64",475,400,25
"65",299,573,28
"66",328,546,26
"67",312,537,51
"68",396,477,27
"69",488,383,29
"70",294,564,42
"71",352,499,49
"72",336,533,31
"73",339,518,43
"74",425,436,39
"75",326,529,45
"76",346,506,48
"77",388,488,24
"78",394,463,43
"79",412,448,40
"80",311,564,25
"81",324,521,55
"82",367,498,35
"83",316,544,40
"84",405,461,34
"85",439,439,22
"86",348,504,48
"87",427,427,46
"88",378,486,36
"89",455,421,24
"90",454,400,46
"91",382,483,35
"92",354,514,32
"93",444,416,40
"94",472,368,60
"95",441,421,38
"96",340,499,61
"97",319,557,24
"98",338,527,35
"99",358,505,37
"100",333,548,19
"101",338,528,34
"102",404,457,39
"103",383,460,57
"104",376,492,32
"105",342,538,20
"106",403,468,29
"107",419,424,57
"108",344,529,27
"109",347,511,42
"110",482,394,24
"111",384,458,58
"112",324,542,34
"113",422,447,31
"114",356,519,25
"115",329,523,48
"116",328,529,43
"117",312,565,23
"118",350,517,33
"119",433,434,33
"120",256,597,47
"121",472,385,43
"122",376,484,40
"123",319,540,41
"124",341,533,26
"125",412,442,46
"126",366,496,38
"127",436,418,46
"128",435,419,46
"129",406,445,49
"130",353,508,39
"131",309,555,36
"132",410,458,32
"133",347,517,36
"134",420,442,38
"135",394,467,39
"136",306,552,42
"137",358,469,73
"138",398,476,26
"139",387,483,30
"140",368,492,40
"141",354,517,29
"142",321,549,30
"143",298,558,44
"144",374,492,34
"145",373,499,28
"146",456,406,38
"147",506,365,29
"148",284,577,39
"149",387,487,26
"150",332,529,39
"151",266,603,31
"152",375,483,42
"153",388,465,47
"154",414,440,46
"155",424,446,30
"156",439,423,38
"157",244,626,30
"158",409,463,28
"159",378,477,45
"160",274,583,43
"161",419,448,33
"162",338,536,26
"163",410,455,35
"164",439,421,40
"165",380,487,33
"166",446,435,19
"167",281,600,19
"168",386,476,38
"169",409,460,31
"170",257,614,29
"171",285,573,42
"172",361,495,44
"173",388,484,28
"174",262,598,40
"175",396,473,31
"176",510,373,17
"177",315,561,24
"178",358,496,46
"179",300,555,45
"180",411,443,46
"181",457,410,33
"182",343,526,31
"183",381,483,36
"184",335,525,40
"185",450,388,62
"186",304,577,19
"187",371,486,43
"188",340,534,26
"189",302,556,42
"190",405,438,57
"191",327,521,52
"192",407,455,38
"193",392,487,21
"194",258,606,36
"195",381,484,35
"196",382,483,35
"197",373,489,38
"198",311,556,33
"199",389,472,39
"200",326,539,35
"201",399,454,47
"202",349,517,34
"203",381,488,31
"204",353,508,39
"205",524,345,31
"206",313,539,48
"207",383,477,40
"208",363,502,35
"209",332,537,31
"210",437,444,19
"211",411,449,40
"212",364,506,30
"213",305,553,42
"214",363,483,54
"215",356,516,28
"216",342,525,33
"217",480,387,33
"218",368,502,30
"219",427,452,21
"220",391,482,27
"221",313,550,37
"222",366,493,41
"223",366,484,50
"224",392,472,36
"225",500,365,35
"226",476,394,30
"227",408,464,28
"228",438,420,42
"229",452,426,22
"230",326,538,36
"231",441,419,40
"232",341,517,42
"233",444,415,41
"234",343,520,37
"235",326,549,25
"236",440,420,40
"237",409,453,38
"238",405,445,50
"239",430,438,32
"240",329,543,28
"241",349,508,43
"242",344,522,34
"243",354,503,43
"244",389,473,38
"245",348,509,43
"246",472,394,34
"247",369,476,55
"248",372,504,24
"249",357,486,57
"250",313,554,33
"251",375,481,44
"252",382,474,44
"253",468,382,50
