"","doseA","doseB","tie"
"1",422,374,104
"2",337,486,77
"3",424,420,56
"4",347,499,54
"5",384,444,72
"6",429,400,71
"7",514,327,59
"8",451,388,61
"9",532,293,75
"10",403,437,60
"11",409,452,39
"12",485,349,66
"13",366,472,62
"14",369,464,67
"15",459,384,57
"16",357,498,45
"17",396,453,51
"18",547,292,61
"19",452,372,76
"20",529,302,69
"21",365,494,41
"22",474,373,53
"23",536,322,42
"24",363,471,66
"25",413,421,66
"26",387,459,54
"27",300,555,45
"28",367,489,44
"29",467,376,57
"30",498,358,44
"31",458,378,64
"32",454,375,71
"33",393,434,73
"34",504,349,47
"35",578,282,40
"36",466,380,54
"37",382,467,51
"38",343,492,65
"39",343,503,54
"40",455,397,48
"41",446,385,69
"42",357,467,76
"43",402,433,65
"44",428,435,37
"45",327,497,76
"46",328,505,67
"47",504,340,56
"48",481,367,52
"49",397,416,87
"50",382,450,68
"51",427,363,110
"52",423,427,50
"53",384,448,68
"54",535,315,50
"55",315,529,56
"56",479,345,76
"57",400,439,61
"58",366,447,87
"59",435,410,55
"60",462,392,46
"61",447,385,68
"62",504,350,46
"63",339,494,67
"64",485,352,63
"65",370,473,57
"66",407,440,53
"67",396,449,55
"68",333,482,85
"69",428,402,70
"70",463,386,51
"71",509,340,51
"72",302,514,84
"73",399,450,51
"74",465,382,53
"75",352,485,63
"76",459,396,45
"77",392,473,35
"78",373,462,65
"79",558,302,40
"80",357,513,30
"81",367,473,60
"82",369,456,75
"83",484,354,62
"84",416,424,60
"85",392,429,79
"86",330,505,65
"87",488,347,65
"88",490,350,60
"89",506,342,52
"90",629,222,49
"91",476,379,45
"92",357,476,67
"93",460,387,53
"94",533,337,30
"95",540,314,46
"96",440,394,66
"97",424,403,73
"98",358,488,54
"99",384,455,61
"100",516,345,39
"101",514,327,59
"102",476,369,55
"103",465,399,36
"104",511,321,68
"105",420,416,64
"106",401,427,72
"107",487,324,89
"108",442,421,37
"109",473,374,53
"110",391,444,65
"111",449,381,70
"112",402,455,43
"113",422,417,61
"114",451,391,58
"115",476,346,78
"116",435,422,43
"117",222,593,85
"118",408,451,41
"119",453,384,63
"120",380,452,68
"121",537,296,67
"122",427,400,73
"123",431,427,42
"124",419,436,45
"125",510,340,50
"126",459,402,39
"127",594,248,58
"128",455,403,42
"129",535,305,60
"130",526,317,57
"131",327,535,38
"132",514,299,87
"133",504,349,47
"134",417,421,62
"135",439,397,64
"136",406,443,51
"137",465,371,64
"138",419,432,49
"139",360,491,49
"140",554,284,62
"141",340,479,81
"142",490,348,62
"143",300,528,72
"144",473,381,46
"145",437,408,55
"146",517,349,34
"147",484,367,49
"148",383,467,50
"149",344,512,44
"150",407,438,55
"151",398,443,59
"152",437,371,92
"153",463,392,45
"154",530,314,56
"155",536,306,58
"156",505,323,72
"157",437,412,51
"158",571,281,48
"159",491,319,90
"160",465,369,66
"161",525,324,51
"162",340,504,56
"163",412,426,62
"164",549,316,35
"165",404,448,48
"166",301,512,87
"167",375,507,18
"168",476,357,67
"169",495,339,66
"170",333,518,49
"171",514,335,51
"172",429,408,63
"173",403,438,59
"174",317,457,126
"175",465,385,50
"176",584,257,59
"177",465,401,34
"178",468,373,59
"179",411,446,43
"180",463,365,72
"181",469,371,60
"182",455,390,55
"183",542,328,30
"184",432,425,43
"185",472,366,62
"186",380,481,39
"187",466,381,53
"188",463,388,49
"189",413,430,57
"190",541,299,60
"191",459,406,35
"192",451,404,45
"193",496,360,44
"194",322,524,54
"195",467,370,63
"196",373,458,69
"197",479,390,31
"198",420,422,58
"199",437,401,62
"200",428,415,57
"201",479,367,54
"202",378,480,42
"203",411,421,68
"204",428,430,42
"205",566,253,81
"206",580,271,49
"207",473,361,66
"208",482,361,57
"209",478,352,70
"210",446,391,63
"211",415,433,52
"212",550,311,39
"213",299,537,64
"214",445,389,66
"215",510,321,69
"216",509,346,45
"217",467,348,85
"218",439,382,79
"219",469,363,68
"220",441,388,71
"221",476,378,46
"222",450,382,68
"223",368,476,56
"224",408,436,56
"225",495,318,87
"226",391,430,79
"227",437,393,70
"228",529,322,49
"229",392,446,62
"230",350,475,75
"231",479,370,51
"232",362,489,49
"233",447,404,49
"234",463,371,66
"235",488,357,55
"236",435,402,63
"237",404,420,76
"238",499,364,37
"239",341,456,103
"240",433,401,66
"241",534,310,56
"242",350,480,70
"243",376,456,68
"244",465,382,53
"245",393,458,49
"246",463,358,79
"247",431,409,60
"248",331,502,67
"249",542,292,66
"250",405,414,81
"251",407,424,69
"252",522,332,46
"253",454,390,56
"254",542,304,54
"255",384,454,62
"256",554,298,48
"257",486,342,72
"258",501,350,49
"259",483,374,43
"260",415,424,61
"261",405,436,59
"262",443,357,100
"263",513,334,53
"264",467,372,61
"265",442,397,61
"266",502,345,53
"267",355,470,75
"268",285,552,63
"269",487,344,69
"270",374,467,59
"271",473,355,72
"272",461,371,68
"273",415,441,44
"274",447,399,54
"275",408,435,57
"276",519,341,40
"277",420,422,58
"278",552,297,51
"279",448,415,37
"280",316,496,88
"281",405,432,63
"282",465,385,50
"283",438,421,41
"284",452,395,53
"285",493,353,54
"286",396,450,54
"287",522,322,56
"288",260,583,57
"289",340,499,61
"290",522,337,41
"291",472,377,51
"292",350,491,59
"293",352,471,77
"294",426,415,59
"295",477,353,70
"296",529,330,41
"297",504,327,69
"298",415,463,22
"299",490,357,53
"300",440,401,59
"301",416,411,73
"302",432,398,70
"303",421,426,53
"304",364,483,53
"305",319,523,58
"306",505,343,52
"307",380,470,50
"308",411,434,55
"309",459,394,47
"310",580,269,51
"311",462,371,67
"312",498,357,45
"313",439,407,54
"314",509,342,49
"315",402,450,48
"316",356,478,66
"317",586,289,25
"318",428,409,63
"319",478,367,55
"320",524,327,49
"321",416,437,47
"322",358,495,47
"323",559,299,42
"324",515,332,53
"325",443,383,74
"326",533,309,58
"327",471,369,60
"328",355,475,70
"329",503,327,70
"330",437,413,50
"331",443,389,68
"332",366,467,67
"333",438,392,70
"334",436,409,55
"335",403,419,78
"336",481,371,48
"337",499,344,57
"338",410,439,51
"339",551,298,51
"340",468,381,51
"341",563,294,43
"342",405,432,63
"343",441,401,58
"344",472,342,86
"345",426,394,80
"346",389,463,48
"347",407,426,67
"348",373,476,51
"349",507,299,94
"350",441,378,81
"351",506,330,64
"352",531,323,46
"353",457,390,53
"354",309,518,73
"355",322,512,66
"356",579,265,56
"357",458,375,67
"358",472,373,55
"359",520,335,45
"360",380,460,60
"361",462,380,58
"362",500,351,49
"363",284,574,42
"364",520,308,72
"365",377,471,52
"366",408,439,53
"367",366,454,80
"368",349,493,58
"369",284,560,56
"370",551,301,48
"371",388,458,54
"372",432,386,82
"373",426,421,53
"374",575,270,55
"375",315,526,59
"376",543,307,50
"377",415,427,58
"378",493,371,36
"379",378,458,64
"380",520,301,79
"381",559,293,48
"382",330,534,36
"383",481,365,54
"384",453,402,45
"385",506,315,79
"386",474,342,84
"387",427,417,56
"388",384,450,66
"389",458,392,50
"390",450,380,70
"391",414,411,75
"392",517,333,50
"393",519,317,64
"394",538,315,47
"395",495,336,69
"396",389,454,57
"397",454,376,70
"398",559,289,52
"399",495,364,41
"400",447,414,39
"401",410,434,56
"402",467,375,58
"403",398,449,53
"404",407,426,67
"405",458,395,47
"406",487,370,43
"407",647,215,38
"408",513,339,48
"409",394,460,46
"410",530,299,71
"411",455,379,66
"412",445,392,63
"413",358,504,38
"414",520,333,47
"415",421,422,57
"416",394,445,61
"417",472,376,52
"418",476,364,60
"419",468,387,45
"420",430,399,71
"421",521,326,53
"422",470,341,89
"423",448,409,43
"424",351,443,106
"425",554,297,49
"426",451,395,54
"427",477,376,47
"428",514,340,46
"429",428,426,46
"430",382,445,73
"431",393,453,54
"432",529,313,58
"433",467,373,60
"434",375,486,39
"435",324,520,56
"436",538,302,60
"437",426,414,60
"438",560,278,62
"439",564,290,46
"440",514,334,52
"441",388,458,54
"442",399,427,74
"443",411,423,66
"444",482,365,53
"445",400,451,49
"446",374,483,43
"447",461,388,51
"448",466,351,83
"449",401,440,59
"450",486,369,45
"451",341,480,79
"452",485,361,54
"453",379,447,74
"454",494,361,45
"455",529,292,79
"456",433,386,81
"457",383,454,63
"458",374,460,66
"459",461,396,43
"460",456,392,52
"461",493,346,61
"462",425,420,55
"463",454,378,68
"464",462,370,68
"465",423,426,51
"466",571,282,47
"467",374,470,56
